,target_size,f,k,c,i,total_multiplications,configuration_mismatch
0,1000,1,2,3,7,588,0.412
1,1000,1,3,3,5,675,0.325
2,1000,1,4,3,4,768,0.232
3,1000,1,5,3,3,675,0.325
4,1000,1,6,3,3,972,0.028
5,1000,1,7,3,3,1323,0.323
6,1000,2,2,3,5,600,0.4
7,1000,2,3,3,4,864,0.136
8,1000,2,4,3,3,864,0.136
9,1000,2,5,3,3,1350,0.35
10,1000,2,6,3,3,1944,0.944
11,1000,2,7,3,3,2646,1.646
12,1000,3,2,3,4,576,0.424
13,1000,3,3,3,3,729,0.271
14,1000,3,4,3,3,1296,0.296
15,1000,3,5,3,3,2025,1.025
16,1000,3,6,3,3,2916,1.916
17,1000,3,7,3,3,3969,2.969
18,1000,4,2,3,4,768,0.232
19,1000,4,3,3,3,972,0.028
20,1000,4,4,3,3,1728,0.728
21,1000,4,5,3,3,2700,1.7
22,1000,4,6,3,3,3888,2.888
23,1000,4,7,3,3,5292,4.292
24,10000,1,2,3,21,5292,0.4708
25,10000,1,3,3,14,5292,0.4708
26,10000,1,4,3,11,5808,0.4192
27,10000,1,5,3,9,6075,0.3925
28,10000,1,6,3,7,5292,0.4708
29,10000,1,7,3,6,5292,0.4708
30,10000,2,2,3,15,5400,0.46
31,10000,2,3,3,10,5400,0.46
32,10000,2,4,3,8,6144,0.3856
33,10000,2,5,3,6,5400,0.46
34,10000,2,6,3,5,5400,0.46
35,10000,2,7,3,5,7350,0.265
36,10000,3,2,3,12,5184,0.4816
37,10000,3,3,3,8,5184,0.4816
38,10000,3,4,3,6,5184,0.4816
39,10000,3,5,3,5,5625,0.4375
40,10000,3,6,3,4,5184,0.4816
41,10000,3,7,3,4,7056,0.2944
42,10000,4,2,3,11,5808,0.4192
43,10000,4,3,3,7,5292,0.4708
44,10000,4,4,3,6,6912,0.3088
45,10000,4,5,3,5,7500,0.25
46,10000,4,6,3,4,6912,0.3088
47,10000,4,7,3,3,5292,0.4708
48,1000000,1,2,3,205,504300,0.4957
49,1000000,1,3,3,137,506763,0.493237
50,1000000,1,4,3,103,509232,0.490768
51,1000000,1,5,3,82,504300,0.4957
52,1000000,1,6,3,69,514188,0.485812
53,1000000,1,7,3,59,511707,0.488293
54,1000000,2,2,3,145,504600,0.4954
55,1000000,2,3,3,97,508086,0.491914
56,1000000,2,4,3,73,511584,0.488416
57,1000000,2,5,3,58,504600,0.4954
58,1000000,2,6,3,49,518616,0.481384
59,1000000,2,7,3,42,518616,0.481384
60,1000000,3,2,3,118,501264,0.498736
61,1000000,3,3,3,79,505521,0.494479
62,1000000,3,4,3,59,501264,0.498736
63,1000000,3,5,3,48,518400,0.4816
64,1000000,3,6,3,40,518400,0.4816
65,1000000,3,7,3,34,509796,0.490204
66,1000000,4,2,3,103,509232,0.490768
67,1000000,4,3,3,69,514188,0.485812
68,1000000,4,4,3,52,519168,0.480832
69,1000000,4,5,3,41,504300,0.4957
70,1000000,4,6,3,35,529200,0.4708
71,1000000,4,7,3,30,529200,0.4708
72,10000000,1,2,3,646,5007792,0.4992208
73,10000000,1,3,3,431,5015547,0.4984453
74,10000000,1,4,3,323,5007792,0.4992208
75,10000000,1,5,3,259,5031075,0.4968925
76,10000000,1,6,3,216,5038848,0.4961152
77,10000000,1,7,3,185,5031075,0.4968925
78,10000000,2,2,3,457,5012376,0.4987624
79,10000000,2,3,3,305,5023350,0.497665
80,10000000,2,4,3,229,5034336,0.4965664
81,10000000,2,5,3,183,5023350,0.497665
82,10000000,2,6,3,153,5056344,0.4943656
83,10000000,2,7,3,131,5045334,0.4954666
84,10000000,3,2,3,373,5008644,0.4991356
85,10000000,3,3,3,249,5022081,0.4977919
86,10000000,3,4,3,187,5035536,0.4964464
87,10000000,3,5,3,150,5062500,0.49375
88,10000000,3,6,3,125,5062500,0.49375
89,10000000,3,7,3,107,5049009,0.4950991
90,10000000,4,2,3,323,5007792,0.4992208
91,10000000,4,3,3,216,5038848,0.4961152
92,10000000,4,4,3,162,5038848,0.4961152
93,10000000,4,5,3,130,5070000,0.493
94,10000000,4,6,3,108,5038848,0.4961152
95,10000000,4,7,3,93,5085612,0.4914388
96,100000000,1,2,3,2042,50037168,0.49962832
97,100000000,1,3,3,1361,50012667,0.49987333
98,100000000,1,4,3,1021,50037168,0.49962832
99,100000000,1,5,3,817,50061675,0.49938325
100,100000000,1,6,3,681,50086188,0.49913812
101,100000000,1,7,3,584,50135232,0.49864768
102,100000000,2,2,3,1444,50043264,0.49956736
103,100000000,2,3,3,963,50077926,0.49922074
104,100000000,2,4,3,722,50043264,0.49956736
105,100000000,2,5,3,578,50112600,0.498874
106,100000000,2,6,3,482,50181984,0.49818016
107,100000000,2,7,3,413,50147286,0.49852714
108,100000000,3,2,3,1179,50041476,0.49958524
109,100000000,3,3,3,786,50041476,0.49958524
110,100000000,3,4,3,590,50126400,0.498736
111,100000000,3,5,3,472,50126400,0.498736
112,100000000,3,6,3,393,50041476,0.49958524
113,100000000,3,7,3,337,50083929,0.49916071
114,100000000,4,2,3,1021,50037168,0.49962832
115,100000000,4,3,3,681,50086188,0.49913812
116,100000000,4,4,3,511,50135232,0.49864768
117,100000000,4,5,3,409,50184300,0.498157
118,100000000,4,6,3,341,50233392,0.49766608
119,100000000,4,7,3,292,50135232,0.49864768
120,500000000,1,2,3,4565,250070700,0.4998586
121,500000000,1,3,3,3043,250015923,0.499968154
122,500000000,1,4,3,2283,250180272,0.499639456
123,500000000,1,5,3,1826,250070700,0.4998586
124,500000000,1,6,3,1522,250180272,0.499639456
125,500000000,1,7,3,1305,250344675,0.49931065
126,500000000,2,2,3,3228,250079616,0.499840768
127,500000000,2,3,3,2152,250079616,0.499840768
128,500000000,2,4,3,1614,250079616,0.499840768
129,500000000,2,5,3,1291,250002150,0.4999957
130,500000000,2,6,3,1076,250079616,0.499840768
131,500000000,2,7,3,923,250467126,0.499065748
132,500000000,3,2,3,2636,250145856,0.499708288
133,500000000,3,3,3,1757,250050969,0.499898062
134,500000000,3,4,3,1318,250145856,0.499708288
135,500000000,3,5,3,1055,250430625,0.49913875
136,500000000,3,6,3,879,250335684,0.499328632
137,500000000,3,7,3,753,250050969,0.499898062
138,500000000,4,2,3,2283,250180272,0.499639456
139,500000000,4,3,3,1522,250180272,0.499639456
140,500000000,4,4,3,1142,250399488,0.499201024
141,500000000,4,5,3,913,250070700,0.4998586
142,500000000,4,6,3,761,250180272,0.499639456
143,500000000,4,7,3,653,250728492,0.498543016
